,id,activity,complete_timestamp,activity_history,next_activity,next_time,elapsed_time,total_time,remaining_time
46,1-270399977,Accepted,2012-02-16 14:09:17+00:00,Accepted+Accepted+Accepted+Queued+Accepted,Queued,2012-02-16 14:09:43+00:00,102835545,105579780,2744235
47,1-270399977,Queued,2012-02-16 14:09:43+00:00,Accepted+Accepted+Accepted+Queued+Accepted+Queued,Accepted,2012-02-16 14:10:10+00:00,102835571,105579780,2744209
48,1-270399977,Accepted,2012-02-16 14:10:10+00:00,Accepted+Accepted+Accepted+Queued+Accepted+Queued+Accepted,Completed,2012-03-19 08:26:32+00:00,102835598,105579780,2744182
49,1-270399977,Completed,2012-03-19 08:26:32+00:00,Accepted+Accepted+Accepted+Queued+Accepted+Queued+Accepted+Completed,!,2012-03-19 08:26:32+00:00,105579780,105579780,0
50,1-270427461,Accepted,2008-11-13 10:01:04+00:00,Accepted,Accepted,2009-12-02 13:24:35+00:00,0,100307897,100307897
51,1-270427461,Accepted,2009-12-02 13:24:35+00:00,Accepted+Accepted,Accepted,2011-11-14 14:57:27+00:00,33189811,100307897,67118086
52,1-270427461,Accepted,2011-11-14 14:57:27+00:00,Accepted+Accepted+Accepted,Accepted,2012-01-18 09:17:14+00:00,94712183,100307897,5595714
53,1-270427461,Accepted,2012-01-18 09:17:14+00:00,Accepted+Accepted+Accepted+Accepted,Completed,2012-01-18 09:19:21+00:00,100307770,100307897,127
54,1-270427461,Completed,2012-01-18 09:19:21+00:00,Accepted+Accepted+Accepted+Accepted+Completed,!,2012-01-18 09:19:21+00:00,100307897,100307897,0
55,1-310231291,Accepted,2009-06-25 07:47:52+00:00,Accepted,Accepted,2012-03-28 11:10:36+00:00,0,87017056,87017056
56,1-310231291,Accepted,2012-03-28 11:10:36+00:00,Accepted+Accepted,Completed,2012-03-28 11:12:08+00:00,87016964,87017056,92
57,1-310231291,Completed,2012-03-28 11:12:08+00:00,Accepted+Accepted+Completed,!,2012-03-28 11:12:08+00:00,87017056,87017056,0
58,1-316086072,Accepted,2009-08-11 06:44:51+00:00,Accepted,Queued,2009-08-11 06:55:12+00:00,0,79711950,79711950
59,1-316086072,Queued,2009-08-11 06:55:12+00:00,Accepted+Queued,Accepted,2009-08-11 10:01:25+00:00,621,79711950,79711329
60,1-316086072,Accepted,2009-08-11 10:01:25+00:00,Accepted+Queued+Accepted,Queued,2010-05-18 10:35:53+00:00,11794,79711950,79700156
61,1-316086072,Queued,2010-05-18 10:35:53+00:00,Accepted+Queued+Accepted+Queued,Accepted,2010-06-16 10:00:32+00:00,24205862,79711950,55506088
62,1-316086072,Accepted,2010-06-16 10:00:32+00:00,Accepted+Queued+Accepted+Queued+Accepted,Accepted,2011-10-01 20:40:28+00:00,26709341,79711950,53002609
63,1-316086072,Accepted,2011-10-01 20:40:28+00:00,Accepted+Queued+Accepted+Queued+Accepted+Accepted,Queued,2011-12-07 11:41:00+00:00,67528537,79711950,12183413
64,1-316086072,Queued,2011-12-07 11:41:00+00:00,Accepted+Queued+Accepted+Queued+Accepted+Accepted+Queued,Accepted,2012-02-15 11:01:20+00:00,73284969,79711950,6426981
65,1-316086072,Accepted,2012-02-15 11:01:20+00:00,Accepted+Queued+Accepted+Queued+Accepted+Accepted+Queued+Accepted,Completed,2012-02-19 20:57:21+00:00,79330589,79711950,381361
66,1-316086072,Completed,2012-02-19 20:57:21+00:00,Accepted+Queued+Accepted+Queued+Accepted+Accepted+Queued+Accepted+Completed,!,2012-02-19 20:57:21+00:00,79711950,79711950,0
67,1-320604521,Accepted,2009-09-07 12:33:24+00:00,Accepted,Unmatched,2009-09-14 09:37:50+00:00,0,83454499,83454499
68,1-320604521,Unmatched,2009-09-14 09:37:50+00:00,Accepted+Unmatched,Completed,2012-04-30 10:21:43+00:00,594266,83454499,82860233
69,1-320604521,Completed,2012-04-30 10:21:43+00:00,Accepted+Unmatched+Completed,!,2012-04-30 10:21:43+00:00,83454499,83454499,0
70,1-322204195,Queued,2009-09-16 20:42:12+00:00,Queued,Accepted,2009-09-28 09:26:19+00:00,0,84716479,84716479
71,1-322204195,Accepted,2009-09-28 09:26:19+00:00,Queued+Accepted,Accepted,2009-09-28 09:26:30+00:00,996247,84716479,83720232
72,1-322204195,Accepted,2009-09-28 09:26:30+00:00,Queued+Accepted+Accepted,Queued,2010-04-08 10:09:22+00:00,996258,84716479,83720221
73,1-322204195,Queued,2010-04-08 10:09:22+00:00,Queued+Accepted+Accepted+Queued,Queued,2010-04-08 10:11:51+00:00,17587630,84716479,67128849
74,1-322204195,Queued,2010-04-08 10:11:51+00:00,Queued+Accepted+Accepted+Queued+Queued,Accepted,2010-04-12 08:05:58+00:00,17587779,84716479,67128700
75,1-322204195,Accepted,2010-04-12 08:05:58+00:00,Queued+Accepted+Accepted+Queued+Queued+Accepted,Accepted,2010-04-12 08:10:24+00:00,17925826,84716479,66790653
76,1-322204195,Accepted,2010-04-12 08:10:24+00:00,Queued+Accepted+Accepted+Queued+Queued+Accepted+Accepted,Accepted,2011-10-18 14:09:14+00:00,17926092,84716479,66790387
77,1-322204195,Accepted,2011-10-18 14:09:14+00:00,Queued+Accepted+Accepted+Queued+Queued+Accepted+Accepted+Accepted,Accepted,2012-05-24 08:02:19+00:00,65813222,84716479,18903257
78,1-322204195,Accepted,2012-05-24 08:02:19+00:00,Queued+Accepted+Accepted+Queued+Queued+Accepted+Accepted+Accepted+Accepted,Completed,2012-05-24 09:03:31+00:00,84712807,84716479,3672
79,1-322204195,Completed,2012-05-24 09:03:31+00:00,Queued+Accepted+Accepted+Queued+Queued+Accepted+Accepted+Accepted+Accepted+Completed,!,2012-05-24 09:03:31+00:00,84716479,84716479,0
80,1-322581861,Accepted,2009-09-18 10:50:02+00:00,Accepted,Unmatched,2009-11-17 13:07:38+00:00,0,78365013,78365013
81,1-322581861,Unmatched,2009-11-17 13:07:38+00:00,Accepted+Unmatched,Completed,2012-03-13 10:53:35+00:00,5192256,78365013,73172757
82,1-322581861,Completed,2012-03-13 10:53:35+00:00,Accepted+Unmatched+Completed,!,2012-03-13 10:53:35+00:00,78365013,78365013,0
83,1-322980802,Accepted,2009-09-21 12:13:43+00:00,Accepted,Completed,2012-02-07 12:22:11+00:00,0,75082108,75082108
84,1-322980802,Completed,2012-02-07 12:22:11+00:00,Accepted+Completed,!,2012-02-07 12:22:11+00:00,75082108,75082108,0
85,1-323264491,Accepted,2009-09-22 12:22:05+00:00,Accepted,Accepted,2009-09-22 12:25:17+00:00,0,84227744,84227744
86,1-323264491,Accepted,2009-09-22 12:25:17+00:00,Accepted+Accepted,Completed,2012-05-24 08:57:49+00:00,192,84227744,84227552
87,1-323264491,Completed,2012-05-24 08:57:49+00:00,Accepted+Accepted+Completed,!,2012-05-24 08:57:49+00:00,84227744,84227744,0
88,1-323462732,Accepted,2009-09-23 09:52:27+00:00,Accepted,Accepted,2010-01-04 08:00:17+00:00,0,81122951,81122951
89,1-323462732,Accepted,2010-01-04 08:00:17+00:00,Accepted+Accepted,Accepted,2010-03-17 15:36:20+00:00,8892470,81122951,72230481
90,1-323462732,Accepted,2010-03-17 15:36:20+00:00,Accepted+Accepted+Accepted,Accepted,2010-11-09 11:35:55+00:00,15140633,81122951,65982318
91,1-323462732,Accepted,2010-11-09 11:35:55+00:00,Accepted+Accepted+Accepted+Accepted,Accepted,2010-11-09 13:20:48+00:00,35603008,81122951,45519943
92,1-323462732,Accepted,2010-11-09 13:20:48+00:00,Accepted+Accepted+Accepted+Accepted+Accepted,Accepted,2012-03-30 06:00:47+00:00,35609301,81122951,45513650
93,1-323462732,Accepted,2012-03-30 06:00:47+00:00,Accepted+Accepted+Accepted+Accepted+Accepted+Accepted,Accepted,2012-03-30 06:05:44+00:00,79387700,81122951,1735251
94,1-323462732,Accepted,2012-03-30 06:05:44+00:00,Accepted+Accepted+Accepted+Accepted+Accepted+Accepted+Accepted,Accepted,2012-04-19 08:01:14+00:00,79387997,81122951,1734954
95,1-323462732,Accepted,2012-04-19 08:01:14+00:00,Accepted+Accepted+Accepted+Accepted+Accepted+Accepted+Accepted+Accepted,Completed,2012-04-19 08:01:38+00:00,81122927,81122951,24
96,1-323462732,Completed,2012-04-19 08:01:38+00:00,Accepted+Accepted+Accepted+Accepted+Accepted+Accepted+Accepted+Accepted+Completed,!,2012-04-19 08:01:38+00:00,81122951,81122951,0
97,1-327329880,Accepted,2009-10-14 16:12:54+00:00,Accepted,Accepted,2009-12-02 13:24:37+00:00,0,72549243,72549243
98,1-327329880,Accepted,2009-12-02 13:24:37+00:00,Accepted+Accepted,Accepted,2011-09-01 22:22:08+00:00,4223503,72549243,68325740
99,1-327329880,Accepted,2011-09-01 22:22:08+00:00,Accepted+Accepted+Accepted,Accepted,2012-02-01 08:46:54+00:00,59378954,72549243,13170289
100,1-327329880,Accepted,2012-02-01 08:46:54+00:00,Accepted+Accepted+Accepted+Accepted,Completed,2012-02-01 08:46:57+00:00,72549240,72549243,3
101,1-327329880,Completed,2012-02-01 08:46:57+00:00,Accepted+Accepted+Accepted+Accepted+Completed,!,2012-02-01 08:46:57+00:00,72549243,72549243,0
102,1-329451027,Accepted,2009-10-26 13:47:10+00:00,Accepted,Unmatched,2009-10-27 08:57:26+00:00,0,76532803,76532803
103,1-329451027,Unmatched,2009-10-27 08:57:26+00:00,Accepted+Unmatched,Queued,2010-03-02 12:44:22+00:00,69016,76532803,76463787
104,1-329451027,Queued,2010-03-02 12:44:22+00:00,Accepted+Unmatched+Queued,Accepted,2010-03-02 12:46:10+00:00,10969032,76532803,65563771
105,1-329451027,Accepted,2010-03-02 12:46:10+00:00,Accepted+Unmatched+Queued+Accepted,Accepted,2010-03-02 12:46:18+00:00,10969140,76532803,65563663
106,1-329451027,Accepted,2010-03-02 12:46:18+00:00,Accepted+Unmatched+Queued+Accepted+Accepted,Accepted,2011-04-11 07:10:20+00:00,10969148,76532803,65563655
107,1-329451027,Accepted,2011-04-11 07:10:20+00:00,Accepted+Unmatched+Queued+Accepted+Accepted+Accepted,Accepted,2011-04-11 07:11:48+00:00,45940990,76532803,30591813
108,1-329451027,Accepted,2011-04-11 07:11:48+00:00,Accepted+Unmatched+Queued+Accepted+Accepted+Accepted+Accepted,Accepted,2011-11-28 07:21:27+00:00,45941078,76532803,30591725
109,1-329451027,Accepted,2011-11-28 07:21:27+00:00,Accepted+Unmatched+Queued+Accepted+Accepted+Accepted+Accepted+Accepted,Accepted,2012-03-30 08:53:50+00:00,65900057,76532803,10632746
110,1-329451027,Accepted,2012-03-30 08:53:50+00:00,Accepted+Unmatched+Queued+Accepted+Accepted+Accepted+Accepted+Accepted+Accepted,Completed,2012-03-30 08:53:53+00:00,76532800,76532803,3
111,1-329451027,Completed,2012-03-30 08:53:53+00:00,Accepted+Unmatched+Queued+Accepted+Accepted+Accepted+Accepted+Accepted+Accepted+Completed,!,2012-03-30 08:53:53+00:00,76532803,76532803,0
112,1-329647261,Accepted,2009-10-27 08:42:40+00:00,Accepted,Accepted,2009-10-27 08:42:49+00:00,0,70326781,70326781
113,1-329647261,Accepted,2009-10-27 08:42:49+00:00,Accepted+Accepted,Queued,2010-03-02 12:43:43+00:00,9,70326781,70326772
114,1-329647261,Queued,2010-03-02 12:43:43+00:00,Accepted+Accepted+Queued,Accepted,2010-03-02 12:44:26+00:00,10900863,70326781,59425918
115,1-329647261,Accepted,2010-03-02 12:44:26+00:00,Accepted+Accepted+Queued+Accepted,Accepted,2010-03-03 07:04:11+00:00,10900906,70326781,59425875
116,1-329647261,Accepted,2010-03-03 07:04:11+00:00,Accepted+Accepted+Queued+Accepted+Accepted,Accepted,2010-06-13 20:32:03+00:00,10966891,70326781,59359890
117,1-329647261,Accepted,2010-06-13 20:32:03+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted,Accepted,2011-04-11 07:12:04+00:00,19828163,70326781,50498618
118,1-329647261,Accepted,2011-04-11 07:12:04+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted+Accepted,Accepted,2011-11-23 10:55:39+00:00,45872964,70326781,24453817
119,1-329647261,Accepted,2011-11-23 10:55:39+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted+Accepted+Accepted,Completed,2012-01-19 07:55:41+00:00,65412779,70326781,4914002
120,1-329647261,Completed,2012-01-19 07:55:41+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted+Accepted+Accepted+Completed,!,2012-01-19 07:55:41+00:00,70326781,70326781,0
121,1-330634474,Accepted,2009-10-30 12:49:04+00:00,Accepted,Accepted,2009-10-30 12:57:13+00:00,0,76190726,76190726
122,1-330634474,Accepted,2009-10-30 12:57:13+00:00,Accepted+Accepted,Queued,2010-03-02 12:43:50+00:00,489,76190726,76190237
123,1-330634474,Queued,2010-03-02 12:43:50+00:00,Accepted+Accepted+Queued,Accepted,2010-03-02 12:45:25+00:00,10626886,76190726,65563840
124,1-330634474,Accepted,2010-03-02 12:45:25+00:00,Accepted+Accepted+Queued+Accepted,Accepted,2010-03-02 12:45:37+00:00,10626981,76190726,65563745
125,1-330634474,Accepted,2010-03-02 12:45:37+00:00,Accepted+Accepted+Queued+Accepted+Accepted,Completed,2012-03-30 08:54:30+00:00,10626993,76190726,65563733
126,1-330634474,Completed,2012-03-30 08:54:30+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Completed,!,2012-03-30 08:54:30+00:00,76190726,76190726,0
127,1-331478885,Accepted,2009-11-04 07:07:28+00:00,Accepted,Accepted,2010-03-03 14:51:55+00:00,0,76036322,76036322
128,1-331478885,Accepted,2010-03-03 14:51:55+00:00,Accepted+Accepted,Accepted,2010-03-03 14:52:18+00:00,10309467,76036322,65726855
129,1-331478885,Accepted,2010-03-03 14:52:18+00:00,Accepted+Accepted+Accepted,Accepted,2010-05-24 15:04:58+00:00,10309490,76036322,65726832
130,1-331478885,Accepted,2010-05-24 15:04:58+00:00,Accepted+Accepted+Accepted+Accepted,Accepted,2010-08-09 10:39:59+00:00,17395050,76036322,58641272
131,1-331478885,Accepted,2010-08-09 10:39:59+00:00,Accepted+Accepted+Accepted+Accepted+Accepted,Accepted,2012-04-02 08:18:59+00:00,24031951,76036322,52004371
132,1-331478885,Accepted,2012-04-02 08:18:59+00:00,Accepted+Accepted+Accepted+Accepted+Accepted+Accepted,Completed,2012-04-02 08:19:30+00:00,76036291,76036322,31
133,1-331478885,Completed,2012-04-02 08:19:30+00:00,Accepted+Accepted+Accepted+Accepted+Accepted+Accepted+Completed,!,2012-04-02 08:19:30+00:00,76036322,76036322,0
134,1-332389008,Queued,2009-11-09 15:38:14+00:00,Queued,Accepted,2009-11-24 08:41:50+00:00,0,76536202,76536202
135,1-332389008,Accepted,2009-11-24 08:41:50+00:00,Queued+Accepted,Accepted,2010-09-10 08:45:16+00:00,1271016,76536202,75265186
136,1-332389008,Accepted,2010-09-10 08:45:16+00:00,Queued+Accepted+Accepted,Accepted,2011-03-28 09:52:46+00:00,26327222,76536202,50208980
137,1-332389008,Accepted,2011-03-28 09:52:46+00:00,Queued+Accepted+Accepted+Accepted,Accepted,2012-01-04 14:53:26+00:00,43524872,76536202,33011330
138,1-332389008,Accepted,2012-01-04 14:53:26+00:00,Queued+Accepted+Accepted+Accepted+Accepted,Completed,2012-04-13 11:41:36+00:00,67907712,76536202,8628490
139,1-332389008,Completed,2012-04-13 11:41:36+00:00,Queued+Accepted+Accepted+Accepted+Accepted+Completed,!,2012-04-13 11:41:36+00:00,76536202,76536202,0
140,1-333164156,Accepted,2009-11-12 12:41:27+00:00,Accepted,Accepted,2010-09-17 08:33:52+00:00,0,75071033,75071033
141,1-333164156,Accepted,2010-09-17 08:33:52+00:00,Accepted+Accepted,Queued,2010-11-12 18:22:19+00:00,26682745,75071033,48388288
142,1-333164156,Queued,2010-11-12 18:22:19+00:00,Accepted+Accepted+Queued,Accepted,2010-11-23 14:10:22+00:00,31556452,75071033,43514581
143,1-333164156,Accepted,2010-11-23 14:10:22+00:00,Accepted+Accepted+Queued+Accepted,Accepted,2011-01-07 13:55:04+00:00,32491735,75071033,42579298
144,1-333164156,Accepted,2011-01-07 13:55:04+00:00,Accepted+Accepted+Queued+Accepted+Accepted,Accepted,2011-01-11 16:13:42+00:00,36378817,75071033,38692216
145,1-333164156,Accepted,2011-01-11 16:13:42+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted,Accepted,2011-05-19 13:45:16+00:00,36732735,75071033,38338298
146,1-333164156,Accepted,2011-05-19 13:45:16+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted+Accepted,Queued,2011-05-19 13:49:04+00:00,47783029,75071033,27288004
147,1-333164156,Queued,2011-05-19 13:49:04+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted+Accepted+Queued,Accepted,2011-08-25 13:24:01+00:00,47783257,75071033,27287776
148,1-333164156,Accepted,2011-08-25 13:24:01+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted+Accepted+Queued+Accepted,Queued,2011-08-25 13:24:43+00:00,56248954,75071033,18822079
149,1-333164156,Queued,2011-08-25 13:24:43+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted+Accepted+Queued+Accepted+Queued,Accepted,2011-08-25 13:25:33+00:00,56248996,75071033,18822037
150,1-333164156,Accepted,2011-08-25 13:25:33+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted+Accepted+Queued+Accepted+Queued+Accepted,Accepted,2011-10-26 15:07:30+00:00,56249046,75071033,18821987
151,1-333164156,Accepted,2011-10-26 15:07:30+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted+Accepted+Queued+Accepted+Queued+Accepted+Accepted,Completed,2012-03-30 09:45:20+00:00,61611963,75071033,13459070
152,1-333164156,Completed,2012-03-30 09:45:20+00:00,Accepted+Accepted+Queued+Accepted+Accepted+Accepted+Accepted+Queued+Accepted+Queued+Accepted+Accepted+Completed,!,2012-03-30 09:45:20+00:00,75071033,75071033,0
153,1-335260940,Accepted,2009-11-24 08:44:43+00:00,Accepted,Queued,2009-11-30 09:45:01+00:00,0,67840918,67840918
154,1-335260940,Queued,2009-11-30 09:45:01+00:00,Accepted+Queued,Accepted,2010-03-14 12:40:26+00:00,522018,67840918,67318900
155,1-335260940,Accepted,2010-03-14 12:40:26+00:00,Accepted+Queued+Accepted,Unmatched,2010-03-14 12:40:36+00:00,9518143,67840918,58322775
156,1-335260940,Unmatched,2010-03-14 12:40:36+00:00,Accepted+Queued+Accepted+Unmatched,Completed,2012-01-18 13:26:41+00:00,9518153,67840918,58322765
157,1-335260940,Completed,2012-01-18 13:26:41+00:00,Accepted+Queued+Accepted+Unmatched+Completed,!,2012-01-18 13:26:41+00:00,67840918,67840918,0
158,1-337229341,Unmatched,2009-12-04 11:10:14+00:00,Unmatched,Accepted,2010-11-29 10:52:49+00:00,0,74491927,74491927
159,1-337229341,Accepted,2010-11-29 10:52:49+00:00,Unmatched+Accepted,Accepted,2012-04-14 15:22:00+00:00,31102955,74491927,43388972
160,1-337229341,Accepted,2012-04-14 15:22:00+00:00,Unmatched+Accepted+Accepted,Completed,2012-04-14 15:22:21+00:00,74491906,74491927,21
161,1-337229341,Completed,2012-04-14 15:22:21+00:00,Unmatched+Accepted+Accepted+Completed,!,2012-04-14 15:22:21+00:00,74491927,74491927,0
162,1-338946805,Accepted,2009-12-14 13:29:17+00:00,Accepted,Accepted,2012-01-10 08:32:43+00:00,0,65387080,65387080
163,1-338946805,Accepted,2012-01-10 08:32:43+00:00,Accepted+Accepted,Completed,2012-01-10 08:33:57+00:00,65387006,65387080,74
164,1-338946805,Completed,2012-01-10 08:33:57+00:00,Accepted+Accepted+Completed,!,2012-01-10 08:33:57+00:00,65387080,65387080,0
165,1-339798202,Accepted,2009-12-16 11:59:24+00:00,Accepted,Accepted,2012-03-15 11:21:25+00:00,0,70845743,70845743
166,1-339798202,Accepted,2012-03-15 11:21:25+00:00,Accepted+Accepted,Completed,2012-03-15 11:21:47+00:00,70845721,70845743,22
167,1-339798202,Completed,2012-03-15 11:21:47+00:00,Accepted+Accepted+Completed,!,2012-03-15 11:21:47+00:00,70845743,70845743,0
168,1-339889001,Accepted,2009-12-16 19:47:26+00:00,Accepted,Accepted,2012-03-14 12:04:51+00:00,0,70734003,70734003
169,1-339889001,Accepted,2012-03-14 12:04:51+00:00,Accepted+Accepted,Completed,2012-03-14 12:07:29+00:00,70733845,70734003,158
